Year,Anomaly
194802,0.03
194803,-0.30
194804,0.09
194805,0.22
194806,0.03
194807,0.04
194808,-0.01
194809,0.04
194810,0.17
194811,0.13
194812,-0.48
194901,0.25
194902,-0.44
194903,0.24
194904,-0.11
194905,0.01
194906,-0.26
194907,-0.22
194908,0.03
194909,-0.10
194910,0.09
194911,0.22
194912,-0.05
195001,-0.38
195002,-0.53
195003,-0.02
195004,-0.26
195005,0.02
195006,-0.13
195007,-0.27
195008,-0.26
195009,-0.06
195010,-0.10
195011,-0.41
195012,0.00
195101,-0.68
195102,-0.86
195103,-0.23
195104,-0.03
195105,0.21
195106,-0.08
195107,0.02
195108,0.15
195109,0.36
195110,0.30
195111,0.03
195112,0.50
195201,0.25
195202,0.11
195203,-0.34
195204,0.06
195205,0.16
195206,0.05
195207,0.13
195208,0.03
195209,0.11
195210,-0.17
195211,-0.38
195212,0.09
195301,0.18
195302,0.38
195303,0.33
195304,0.58
195305,0.35
195306,0.32
195307,0.10
195308,0.22
195309,0.17
195310,0.32
195311,0.16
195312,0.33
195401,-0.45
195402,-0.08
195403,-0.30
195404,-0.02
195405,-0.12
195406,0.03
195407,0.01
195408,0.15
195409,0.17
195410,0.26
195411,0.59
195412,0.06
195501,0.66
195502,-0.29
195503,-0.66
195504,-0.29
195505,-0.18
195506,0.01
195507,-0.20
195508,0.14
195509,0.07
195510,0.15
195511,-0.52
195512,-0.57
195601,-0.26
195602,-0.29
195603,-0.27
195604,-0.46
195605,-0.50
195606,-0.27
195607,-0.22
195608,-0.43
195609,-0.47
195610,-0.54
195611,-0.34
195612,0.01
195701,-0.17
195702,-0.32
195703,-0.37
195704,-0.34
195705,-0.24
195706,0.12
195707,-0.39
195708,0.48
195709,0.32
195710,0.17
195711,0.09
195712,0.35
195801,0.80
195802,0.48
195803,0.03
195804,-0.12
195805,0.17
195806,-0.42
195807,-0.19
195808,-0.26
195809,-0.36
195810,-0.05
195811,0.00
195812,0.05
195901,-0.01
195902,0.16
195903,0.49
195904,0.46
195905,-0.09
195906,0.23
195907,0.10
195908,-0.01
195909,0.11
195910,-0.32
195911,-0.11
195912,0.06
196001,0.07
196002,0.23
196003,-0.91
196004,-0.29
196005,-0.33
196006,0.24
196007,0.07
196008,-0.15
196009,0.17
196010,0.11
196011,-0.44
196012,0.66
196101,0.29
196102,0.26
196103,0.09
196104,0.39
196105,-0.13
196106,0.10
196107,0.02
196108,0.03
196109,0.13
196110,-0.45
196111,0.08
196112,-0.38
196201,0.19
196202,0.29
196203,0.37
196204,-0.07
196205,-0.12
196206,-0.42
196207,-0.02
196208,0.03
196209,-0.39
196210,-0.08
196211,0.31
196212,0.19
196301,0.04
196302,0.60
196303,-0.43
196304,-0.13
196305,-0.30
196306,0.08
196307,-0.10
196308,0.21
196309,0.16
196310,0.54
196311,0.38
196312,-0.02
196401,-0.31
196402,-0.29
196403,-0.35
196404,-0.56
196405,-0.33
196406,-0.12
196407,0.00
196408,-0.38
196409,-0.25
196410,-0.54
196411,-0.22
196412,-0.26
196501,0.00
196502,-0.28
196503,-0.15
196504,-0.17
196505,-0.46
196506,-0.22
196507,0.02
196508,-0.01
196509,-0.31
196510,0.04
196511,0.10
196512,-0.07
196601,-0.50
196602,-0.17
196603,-0.14
196604,-0.28
196605,-0.27
196606,0.27
196607,0.14
196608,-0.12
196609,0.15
196610,-0.46
196611,-0.04
196612,-0.07
196701,-0.30
196702,-0.36
196703,0.19
196704,0.07
196705,0.53
196706,-0.09
196707,-0.19
196708,0.10
196709,-0.12
196710,0.35
196711,0.01
196712,0.32
196801,-0.29
196802,-0.06
196803,0.81
196804,-0.02
196805,-0.48
196806,-0.55
196807,-0.24
196808,-0.23
196809,-0.52
196810,-0.16
196811,-0.46
196812,-0.60
196901,-0.83
196902,-0.86
196903,-0.28
196904,-0.20
196905,0.00
196906,-0.29
196907,0.10
196908,-0.02
196909,0.10
196910,0.03
196911,0.20
196912,0.68
197001,0.09
197002,0.39
197003,-0.03
197004,-0.02
197005,-0.02
197006,0.11
197007,0.10
197008,-0.01
197009,0.05
197010,-0.27
197011,0.00
197012,-0.30
197101,-0.06
197102,-0.26
197103,-0.06
197104,-0.19
197105,-0.04
197106,-0.07
197107,0.00
197108,-0.04
197109,0.22
197110,-0.09
197111,0.05
197112,0.08
197201,-0.75
197202,-0.68
197203,0.14
197204,-0.05
197205,-0.09
197206,0.04
197207,-0.06
197208,0.03
197209,-0.18
197210,-0.01
197211,-0.28
197212,-0.22
197301,0.48
197302,0.63
197303,0.62
197304,0.46
197305,0.32
197306,0.47
197307,0.18
197308,0.18
197309,0.06
197310,0.01
197311,-0.03
197312,0.27
197401,-0.18
197402,-0.61
197403,0.18
197404,0.02
197405,-0.04
197406,-0.13
197407,0.10
197408,0.02
197409,-0.14
197410,-0.25
197411,-0.33
197412,-0.20
197501,0.09
197502,0.18
197503,0.32
197504,0.32
197505,0.19
197506,0.18
197507,0.07
197508,-0.06
197509,0.13
197510,-0.18
197511,-0.27
197512,0.04
197601,0.21
197602,-0.12
197603,-0.28
197604,0.20
197605,-0.20
197606,-0.16
197607,-0.15
197608,-0.09
197609,0.04
197610,-0.77
197611,-0.46
197612,-0.18
197701,-0.06
197702,0.07
197703,0.29
197704,0.43
197705,0.46
197706,0.40
197707,0.20
197708,0.16
197709,0.18
197710,-0.07
197711,0.42
197712,0.08
197801,0.11
197802,0.14
197803,0.38
197804,0.19
197805,0.06
197806,-0.16
197807,-0.07
197808,-0.21
197809,0.05
197810,-0.02
197811,0.31
197812,-0.07
197901,-0.07
197902,-0.65
197903,0.11
197904,-0.26
197905,0.07
197906,0.12
197907,0.19
197908,0.20
197909,0.25
197910,0.35
197911,0.29
197912,0.80
198001,0.28
198002,0.59
198003,0.19
198004,0.36
198005,0.50
198006,0.26
198007,0.26
198008,0.24
198009,0.15
198010,0.28
198011,0.34
198012,0.20
198101,1.25
198102,0.91
198103,0.86
198104,0.65
198105,0.43
198106,0.38
198107,0.23
198108,0.41
198109,0.23
198110,0.29
198111,0.48
198112,0.75
198201,-0.24
198202,0.22
198203,-0.05
198204,0.25
198205,0.03
198206,0.01
198207,0.25
198208,0.09
198209,0.13
198210,-0.10
198211,-0.28
198212,0.55
198301,0.73
198302,0.64
198303,0.65
198304,0.07
198305,0.19
198306,0.19
198307,0.33
198308,0.47
198309,0.47
198310,0.20
198311,0.66
198312,0.33
198401,0.46
198402,0.12
198403,0.36
198404,-0.04
198405,0.59
198406,0.17
198407,0.11
198408,0.15
198409,0.01
198410,0.24
198411,-0.06
198412,-0.18
198501,0.51
198502,-0.24
198503,0.43
198504,0.07
198505,0.29
198506,0.15
198507,-0.07
198508,0.16
198509,0.06
198510,0.06
198511,0.07
198512,0.11
198601,0.35
198602,0.77
198603,0.67
198604,0.44
198605,0.67
198606,0.19
198607,-0.08
198608,-0.01
198609,-0.43
198610,-0.07
198611,-0.12
198612,-0.07
198701,0.35
198702,0.50
198703,-0.24
198704,-0.03
198705,0.28
198706,0.50
198707,0.59
198708,0.15
198709,0.27
198710,0.17
198711,-0.19
198712,0.64
198801,0.66
198802,0.46
198803,0.52
198804,0.59
198805,0.77
198806,0.61
198807,0.57
198808,0.94
198809,0.69
198810,0.69
198811,0.11
198812,0.67
198901,-0.08
198902,0.57
198903,0.66
198904,0.68
198905,0.20
198906,-0.28
198907,0.33
198908,0.30
198909,0.54
198910,0.50
198911,-0.03
198912,0.67
199001,0.61
199002,0.42
199003,1.61
199004,1.10
199005,0.74
199006,0.54
199007,0.27
199008,0.40
199009,0.22
199010,0.48
199011,0.50
199012,0.55
199101,0.60
199102,0.93
199103,0.45
199104,0.96
199105,0.59
199106,0.92
199107,0.49
199108,0.45
199109,0.58
199110,0.49
199111,0.37
199112,0.42
199201,0.79
199202,0.67
199203,0.79
199204,0.01
199205,0.43
199206,0.16
199207,-0.12
199208,-0.06
199209,-0.24
199210,-0.27
199211,-0.14
199212,0.32
199301,0.52
199302,0.67
199303,0.64
199304,0.51
199305,0.26
199306,0.30
199307,0.42
199308,-0.15
199309,0.12
199310,0.19
199311,-0.15
199312,0.13
199401,0.23
199402,-0.29
199403,0.41
199404,0.69
199405,0.35
199406,0.71
199407,0.35
199408,0.21
199409,0.27
199410,0.69
199411,0.52
199412,0.45
199501,0.94
199502,1.60
199503,0.75
199504,0.89
199505,0.36
199506,0.83
199507,0.60
199508,0.78
199509,0.75
199510,0.73
199511,0.82
199512,0.41
199601,0.32
199602,0.85
199603,0.45
199604,0.46
199605,0.39
199606,0.43
199607,0.47
199608,0.64
199609,0.19
199610,-0.04
199611,0.77
199612,0.52
199701,0.29
199702,0.49
199703,0.82
199704,0.54
199705,0.42
199706,0.73
199707,0.22
199708,0.37
199709,0.67
199710,0.93
199711,0.85
199712,0.57
199801,0.58
199802,1.31
199803,0.94
199804,0.96
199805,0.91
199806,1.13
199807,1.00
199808,1.00
199809,0.64
199810,0.52
199811,0.50
199812,1.03
199901,0.79
199902,1.31
199903,0.36
199904,0.38
199905,0.40
199906,0.50
199907,0.66
199908,0.45
199909,0.84
199910,0.64
199911,0.68
199912,0.91
200001,0.49
200002,1.07
200003,1.14
200004,1.20
200005,0.57
200006,0.56
200007,0.62
200008,0.70
200009,0.56
200010,0.29
200011,0.33
200012,0.21
200101,0.62
200102,0.67
200103,0.85
200104,0.79
200105,0.85
200106,0.69
200107,0.92
