id,city,name,country,measurements,bounds,unit,count,average,lastValue,parameter,displayName,parameterId,latitude,longitude,modelName,manufacturerName
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",particles/cm³,43208,2.2821618308320324,4.44,um005,um005 particles/cm³,133,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",particles/cm³,410352,0.6163592225693035,0.84,um010,um010 particles/cm³,126,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",f,4011,71.89096727628372,66.0,temperature,temperature f,128,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",particles/cm³,410352,0.048007458120282204,0.05,um025,um025 particles/cm³,130,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",particles/cm³,410352,0.0034439346611030205,0.0,um100,um100 particles/cm³,135,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",c,39197,72.96489407691573,97.0,temperature,temperature c,100,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",mb,43208,1005.0203501162263,1005.35,pressure,pressure mb,132,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",%,43208,45.54031141763783,29.0,humidity,humidity %,134,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",particles/cm³,43208,0.004305944344699781,0.0,um050,um050 particles/cm³,129,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",particles/cm³,43208,7.995544635329124,15.53,um003,um003 particles/cm³,125,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",µg/m³,410352,9.548410400545722,13.5,pm10,pm10 µg/m³,1,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",µg/m³,410352,8.413105971373751,12.5,pm25,pm25 µg/m³,2,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
68621,,Barbara Drive,US,2721360,"[-121.92831, 37.242138, -121.92831, 37.242138]",µg/m³,410352,5.135950224666926,7.9,pm1,pm1 µg/m³,19,37.242138,-121.92831,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",µg/m³,150482,70.55578541740546,8.0,pm1,pm1 µg/m³,19,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",%,39168,41.74337015049724,75.0,humidity,humidity %,134,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",particles/cm³,39168,0.1282886161760473,0.01,um050,um050 particles/cm³,129,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",particles/cm³,150482,5.18612274462625,0.57,um010,um010 particles/cm³,126,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",mb,39168,858.4603477245715,859.37,pressure,pressure mb,132,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",f,39168,86.02616109959959,76.0,temperature,temperature f,128,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",particles/cm³,150482,0.07256785786489542,0.0,um100,um100 particles/cm³,135,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",particles/cm³,150482,0.6355689545275305,0.04,um025,um025 particles/cm³,130,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",particles/cm³,39168,16.431496808263294,4.75,um005,um005 particles/cm³,133,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",µg/m³,150482,104.75601597797792,12.2,pm10,pm10 µg/m³,1,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",particles/cm³,39168,50.723585185214425,14.61,um003,um003 particles/cm³,125,27.66927,85.46562,PurpleAir Sensor,PurpleAir
314330,,Kathmandu Cancer Center,NP,1137900,"[85.46562, 27.66927, 85.46562, 27.66927]",µg/m³,150482,91.9779380603066,11.2,pm25,pm25 µg/m³,2,27.66927,85.46562,PurpleAir Sensor,PurpleAir
229705,,Marmot's End,US,2145420,"[-117.377785, 47.624294, -117.377785, 47.624294]",particles/cm³,43071,0.0021292584172041044,0.04,um050,um050 particles/cm³,129,47.624294,-117.377785,PurpleAir Sensor,PurpleAir
